zip,state,county,city_town,climate_zone,moisture_regime
01270,MA,BERKSHIRE,WINDSOR,5,moist
01301,MA,FRANKLIN,GREENFIELD,5,moist
01302,MA,FRANKLIN,GREENFIELD,5,moist
01330,MA,FRANKLIN,ASHFIELD,5,moist
01331,MA,WORCESTER,ATHOL,5,moist
01337,MA,FRANKLIN,BERNARDSTON,5,moist
01338,MA,FRANKLIN,BUCKLAND,5,moist
01339,MA,FRANKLIN,CHARLEMONT,5,moist
01340,MA,FRANKLIN,COLRAIN,5,moist
01341,MA,FRANKLIN,CONWAY,5,moist
01342,MA,FRANKLIN,DEERFIELD,5,moist
01343,MA,BERKSHIRE,DRURY,5,moist
01344,MA,FRANKLIN,ERVING,5,moist
01346,MA,FRANKLIN,HEATH,5,moist
01347,MA,FRANKLIN,LAKE PLEASANT,5,moist
01349,MA,FRANKLIN,MILLERS FALLS,5,moist
01350,MA,FRANKLIN,MONROE BRIDGE,5,moist
01351,MA,FRANKLIN,MONTAGUE,5,moist
01354,MA,FRANKLIN,GILL,5,moist
01355,MA,FRANKLIN,NEW SALEM,5,moist
01360,MA,FRANKLIN,NORTHFIELD,5,moist
01364,MA,FRANKLIN,ORANGE,5,moist
01366,MA,WORCESTER,PETERSHAM,5,moist
01367,MA,FRANKLIN,ROWE,5,moist
01368,MA,WORCESTER,ROYALSTON,5,moist
01370,MA,FRANKLIN,SHELBURNE FALLS,5,moist
01373,MA,FRANKLIN,SOUTH DEERFIELD,5,moist
01375,MA,FRANKLIN,SUNDERLAND,5,moist
01376,MA,FRANKLIN,TURNERS FALLS,5,moist
01378,MA,FRANKLIN,WARWICK,5,moist
01379,MA,FRANKLIN,WENDELL,5,moist
01380,MA,FRANKLIN,WENDELL DEPOT,5,moist
01420,MA,WORCESTER,FITCHBURG,5,moist
01430,MA,WORCESTER,ASHBURNHAM,5,moist
01431,MA,MIDDLESEX,ASHBY,5,moist
01432,MA,MIDDLESEX,AYER,5,moist
01434,MA,MIDDLESEX,DEVENS,5,moist
01436,MA,WORCESTER,BALDWINVILLE,5,moist
01438,MA,WORCESTER,EAST TEMPLETON,5,moist
01440,MA,WORCESTER,GARDNER,5,moist
01441,MA,WORCESTER,WESTMINSTER,5,moist
01450,MA,MIDDLESEX,GROTON,5,moist
01451,MA,WORCESTER,HARVARD,5,moist
01452,MA,WORCESTER,HUBBARDSTON,5,moist
01453,MA,WORCESTER,LEOMINSTER,5,moist
01460,MA,MIDDLESEX,LITTLETON,5,moist
01462,MA,WORCESTER,LUNENBURG,5,moist
01463,MA,MIDDLESEX,PEPPERELL,5,moist
01464,MA,MIDDLESEX,SHIRLEY,5,moist
01467,MA,WORCESTER,STILL RIVER,5,moist
01468,MA,WORCESTER,TEMPLETON,5,moist
01469,MA,MIDDLESEX,TOWNSEND,5,moist
01471,MA,MIDDLESEX,GROTON,5,moist
01472,MA,MIDDLESEX,WEST GROTON,5,moist
01473,MA,WORCESTER,WESTMINSTER,5,moist
01474,MA,MIDDLESEX,WEST TOWNSEND,5,moist
01475,MA,WORCESTER,WINCHENDON,5,moist
01477,MA,WORCESTER,WINCHENDON SPRINGS,5,moist
01501,MA,WORCESTER,AUBURN,5,moist
01503,MA,WORCESTER,BERLIN,5,moist
01504,MA,WORCESTER,BLACKSTONE,5,moist
01505,MA,WORCESTER,BOYLSTON,5,moist
01506,MA,WORCESTER,BROOKFIELD,5,moist
01507,MA,WORCESTER,CHARLTON,5,moist
01508,MA,WORCESTER,CHARLTON CITY,5,moist
01509,MA,WORCESTER,CHARLTON DEPOT,5,moist
01510,MA,WORCESTER,CLINTON,5,moist
01515,MA,WORCESTER,EAST BROOKFIELD,5,moist
01516,MA,WORCESTER,DOUGLAS,5,moist
01518,MA,WORCESTER,FISKDALE,5,moist
01519,MA,WORCESTER,GRAFTON,5,moist
01520,MA,WORCESTER,HOLDEN,5,moist
01521,MA,HAMPDEN,HOLLAND,5,moist
01522,MA,WORCESTER,JEFFERSON,5,moist
01523,MA,WORCESTER,LANCASTER,5,moist
01524,MA,WORCESTER,LEICESTER,5,moist
01525,MA,WORCESTER,LINWOOD,5,moist
01526,MA,WORCESTER,MANCHAUG,5,moist
01527,MA,WORCESTER,MILLBURY,5,moist
01529,MA,WORCESTER,MILLVILLE,5,moist
01531,MA,WORCESTER,NEW BRAINTREE,5,moist
01532,MA,WORCESTER,NORTHBOROUGH,5,moist
01534,MA,WORCESTER,NORTHBRIDGE,5,moist
01535,MA,WORCESTER,NORTH BROOKFIELD,5,moist
01536,MA,WORCESTER,NORTH GRAFTON,5,moist
01537,MA,WORCESTER,NORTH OXFORD,5,moist
01538,MA,WORCESTER,NORTH UXBRIDGE,5,moist
01540,MA,WORCESTER,OXFORD,5,moist
01541,MA,WORCESTER,PRINCETON,5,moist
01542,MA,WORCESTER,ROCHDALE,5,moist
01543,MA,WORCESTER,RUTLAND,5,moist
01545,MA,WORCESTER,SHREWSBURY,5,moist
01546,MA,WORCESTER,SHREWSBURY,5,moist
01550,MA,WORCESTER,SOUTHBRIDGE,5,moist
01560,MA,WORCESTER,SOUTH GRAFTON,5,moist
01561,MA,WORCESTER,SOUTH LANCASTER,5,moist
01562,MA,WORCESTER,SPENCER,5,moist
01564,MA,WORCESTER,STERLING,5,moist
01566,MA,WORCESTER,STURBRIDGE,5,moist
01568,MA,WORCESTER,UPTON,5,moist
01569,MA,WORCESTER,UXBRIDGE,5,moist
01570,MA,WORCESTER,WEBSTER,5,moist
01571,MA,WORCESTER,DUDLEY,5,moist
01581,MA,WORCESTER,WESTBOROUGH,5,moist
01583,MA,WORCESTER,WEST BOYLSTON,5,moist
01585,MA,WORCESTER,WEST BROOKFIELD,5,moist
01588,MA,WORCESTER,WHITINSVILLE,5,moist
01590,MA,WORCESTER,SUTTON,5,moist
01601,MA,WORCESTER,WORCESTER,5,moist
01602,MA,WORCESTER,WORCESTER,5,moist
01603,MA,WORCESTER,WORCESTER,5,moist
01604,MA,WORCESTER,WORCESTER,5,moist
01605,MA,WORCESTER,WORCESTER,5,moist
01606,MA,WORCESTER,WORCESTER,5,moist
01607,MA,WORCESTER,WORCESTER,5,moist
01608,MA,WORCESTER,WORCESTER,5,moist
01609,MA,WORCESTER,WORCESTER,5,moist
01610,MA,WORCESTER,WORCESTER,5,moist
01611,MA,WORCESTER,CHERRY VALLEY,5,moist
01612,MA,WORCESTER,PAXTON,5,moist
01613,MA,WORCESTER,WORCESTER,5,moist
01614,MA,WORCESTER,WORCESTER,5,moist
01615,MA,WORCESTER,WORCESTER,5,moist
01653,MA,WORCESTER,WORCESTER,5,moist
01655,MA,WORCESTER,WORCESTER,5,moist
01701,MA,MIDDLESEX,FRAMINGHAM,5,moist
01702,MA,MIDDLESEX,FRAMINGHAM,5,moist
01703,MA,MIDDLESEX,FRAMINGHAM,5,moist
01704,MA,MIDDLESEX,FRAMINGHAM,5,moist
01718,MA,MIDDLESEX,VILLAGE OF NAGOG WOODS,5,moist
01719,MA,MIDDLESEX,BOXBOROUGH,5,moist
01720,MA,MIDDLESEX,ACTON,5,moist
01721,MA,MIDDLESEX,ASHLAND,5,moist
01730,MA,MIDDLESEX,BEDFORD,5,moist
01731,MA,MIDDLESEX,HANSCOM AFB,5,moist
01740,MA,WORCESTER,BOLTON,5,moist
01741,MA,MIDDLESEX,CARLISLE,5,moist
01742,MA,MIDDLESEX,CONCORD,5,moist
01745,MA,WORCESTER,FAYVILLE,5,moist
01746,MA,MIDDLESEX,HOLLISTON,5,moist
01747,MA,WORCESTER,HOPEDALE,5,moist
01748,MA,MIDDLESEX,HOPKINTON,5,moist
01749,MA,MIDDLESEX,HUDSON,5,moist
01752,MA,MIDDLESEX,MARLBOROUGH,5,moist
01754,MA,MIDDLESEX,MAYNARD,5,moist
01756,MA,WORCESTER,MENDON,5,moist
01757,MA,WORCESTER,MILFORD,5,moist
01760,MA,MIDDLESEX,NATICK,5,moist
01770,MA,MIDDLESEX,SHERBORN,5,moist
01772,MA,WORCESTER,SOUTHBOROUGH,5,moist
01773,MA,MIDDLESEX,LINCOLN,5,moist
01775,MA,MIDDLESEX,STOW,5,moist
01776,MA,MIDDLESEX,SUDBURY,5,moist
01778,MA,MIDDLESEX,WAYLAND,5,moist
01784,MA,MIDDLESEX,WOODVILLE,5,moist
01801,MA,MIDDLESEX,WOBURN,5,moist
01803,MA,MIDDLESEX,BURLINGTON,5,moist
01805,MA,MIDDLESEX,BURLINGTON,5,moist
01810,MA,ESSEX,ANDOVER,5,moist
01812,MA,ESSEX,ANDOVER,5,moist
01815,MA,MIDDLESEX,WOBURN,5,moist
01821,MA,MIDDLESEX,BILLERICA,5,moist
01824,MA,MIDDLESEX,CHELMSFORD,5,moist
01826,MA,MIDDLESEX,DRACUT,5,moist
01827,MA,MIDDLESEX,DUNSTABLE,5,moist
01830,MA,ESSEX,HAVERHILL,5,moist
01831,MA,ESSEX,HAVERHILL,5,moist
01832,MA,ESSEX,HAVERHILL,5,moist
01833,MA,ESSEX,GEORGETOWN,5,moist
01834,MA,ESSEX,GROVELAND,5,moist
01835,MA,ESSEX,HAVERHILL,5,moist
01840,MA,ESSEX,LAWRENCE,5,moist
01841,MA,ESSEX,LAWRENCE,5,moist
01842,MA,ESSEX,LAWRENCE,5,moist
01843,MA,ESSEX,LAWRENCE,5,moist
01844,MA,ESSEX,METHUEN,5,moist
01845,MA,ESSEX,NORTH ANDOVER,5,moist
01850,MA,MIDDLESEX,LOWELL,5,moist
01851,MA,MIDDLESEX,LOWELL,5,moist
01852,MA,MIDDLESEX,LOWELL,5,moist
01853,MA,MIDDLESEX,LOWELL,5,moist
01854,MA,MIDDLESEX,LOWELL,5,moist
01860,MA,ESSEX,MERRIMAC,5,moist
01862,MA,MIDDLESEX,NORTH BILLERICA,5,moist
01863,MA,MIDDLESEX,NORTH CHELMSFORD,5,moist
01864,MA,MIDDLESEX,NORTH READING,5,moist
01865,MA,MIDDLESEX,NUTTING LAKE,5,moist
01866,MA,MIDDLESEX,PINEHURST,5,moist
01867,MA,MIDDLESEX,READING,5,moist
01876,MA,MIDDLESEX,TEWKSBURY,5,moist
01879,MA,MIDDLESEX,TYNGSBORO,5,moist
01880,MA,MIDDLESEX,WAKEFIELD,5,moist
01885,MA,ESSEX,WEST BOXFORD,5,moist
01886,MA,MIDDLESEX,WESTFORD,5,moist
01887,MA,MIDDLESEX,WILMINGTON,5,moist
01888,MA,MIDDLESEX,WOBURN,5,moist
01889,MA,MIDDLESEX,NORTH READING,5,moist
01890,MA,MIDDLESEX,WINCHESTER,5,moist
01901,MA,ESSEX,LYNN,5,moist
01902,MA,ESSEX,LYNN,5,moist
01903,MA,ESSEX,LYNN,5,moist
01904,MA,ESSEX,LYNN,5,moist
01905,MA,ESSEX,LYNN,5,moist
01906,MA,ESSEX,SAUGUS,5,moist
01907,MA,ESSEX,SWAMPSCOTT,5,moist
01908,MA,ESSEX,NAHANT,5,moist
01910,MA,ESSEX,LYNN,5,moist
01913,MA,ESSEX,AMESBURY,5,moist
01915,MA,ESSEX,BEVERLY,5,moist
01921,MA,ESSEX,BOXFORD,5,moist
01922,MA,ESSEX,BYFIELD,5,moist
01923,MA,ESSEX,DANVERS,5,moist
01929,MA,ESSEX,ESSEX,5,moist
01930,MA,ESSEX,GLOUCESTER,5,moist
01931,MA,ESSEX,GLOUCESTER,5,moist
01936,MA,ESSEX,HAMILTON,5,moist
01937,MA,ESSEX,HATHORNE,5,moist
01938,MA,ESSEX,IPSWICH,5,moist
01940,MA,ESSEX,LYNNFIELD,5,moist
01944,MA,ESSEX,MANCHESTER,5,moist
01945,MA,ESSEX,MARBLEHEAD,5,moist
01949,MA,ESSEX,MIDDLETON,5,moist
01950,MA,ESSEX,NEWBURYPORT,5,moist
01951,MA,ESSEX,NEWBURY,5,moist
01952,MA,ESSEX,SALISBURY,5,moist
01960,MA,ESSEX,PEABODY,5,moist
01961,MA,ESSEX,PEABODY,5,moist
01965,MA,ESSEX,PRIDES CROSSING,5,moist
01966,MA,ESSEX,ROCKPORT,5,moist
01969,MA,ESSEX,ROWLEY,5,moist
01970,MA,ESSEX,SALEM,5,moist
01982,MA,ESSEX,SOUTH HAMILTON,5,moist
01983,MA,ESSEX,TOPSFIELD,5,moist
01984,MA,ESSEX,WENHAM,5,moist
01985,MA,ESSEX,WEST NEWBURY,5,moist
02018,MA,PLYMOUTH,ACCORD,5,moist
02019,MA,NORFOLK,BELLINGHAM,5,moist
02020,MA,PLYMOUTH,BRANT ROCK,5,moist
02021,MA,NORFOLK,CANTON,5,moist
02025,MA,NORFOLK,COHASSET,5,moist
02026,MA,NORFOLK,DEDHAM,5,moist
02027,MA,NORFOLK,DEDHAM,5,moist
02030,MA,NORFOLK,DOVER,5,moist
02032,MA,NORFOLK,EAST WALPOLE,5,moist
02035,MA,NORFOLK,FOXBORO,5,moist
02038,MA,NORFOLK,FRANKLIN,5,moist
02040,MA,PLYMOUTH,GREENBUSH,5,moist
02041,MA,PLYMOUTH,GREEN HARBOR,5,moist
02043,MA,PLYMOUTH,HINGHAM,5,moist
02044,MA,PLYMOUTH,HINGHAM,5,moist
02045,MA,PLYMOUTH,HULL,5,moist
02047,MA,PLYMOUTH,HUMAROCK,5,moist
02048,MA,BRISTOL,MANSFIELD,5,moist
02050,MA,PLYMOUTH,MARSHFIELD,5,moist
02051,MA,PLYMOUTH,MARSHFIELD HILLS,5,moist
02052,MA,NORFOLK,MEDFIELD,5,moist
02053,MA,NORFOLK,MEDWAY,5,moist
02054,MA,NORFOLK,MILLIS,5,moist
02056,MA,NORFOLK,NORFOLK,5,moist
02059,MA,PLYMOUTH,NORTH MARSHFIELD,5,moist
02060,MA,PLYMOUTH,NORTH SCITUATE,5,moist
02061,MA,PLYMOUTH,NORWELL,5,moist
02062,MA,NORFOLK,NORWOOD,5,moist
02065,MA,PLYMOUTH,OCEAN BLUFF,5,moist
02066,MA,PLYMOUTH,SCITUATE,5,moist
02067,MA,NORFOLK,SHARON,5,moist
02070,MA,NORFOLK,SHELDONVILLE,5,moist
02071,MA,NORFOLK,SOUTH WALPOLE,5,moist
02072,MA,NORFOLK,STOUGHTON,5,moist
02081,MA,NORFOLK,WALPOLE,5,moist
02090,MA,NORFOLK,WESTWOOD,5,moist
02093,MA,NORFOLK,WRENTHAM,5,moist
02108,MA,SUFFOLK,BOSTON,5,moist
02109,MA,SUFFOLK,BOSTON,5,moist
02110,MA,SUFFOLK,BOSTON,5,moist
02111,MA,SUFFOLK,BOSTON,5,moist
02112,MA,SUFFOLK,BOSTON,5,moist
02113,MA,SUFFOLK,BOSTON,5,moist
02114,MA,SUFFOLK,BOSTON,5,moist
02115,MA,SUFFOLK,BOSTON,5,moist
02116,MA,SUFFOLK,BOSTON,5,moist
02117,MA,SUFFOLK,BOSTON,5,moist
02118,MA,SUFFOLK,BOSTON,5,moist
02119,MA,SUFFOLK,ROXBURY,5,moist
02120,MA,SUFFOLK,ROXBURY CROSSING,5,moist
02121,MA,SUFFOLK,DORCHESTER,5,moist
02122,MA,SUFFOLK,DORCHESTER,5,moist
02123,MA,SUFFOLK,BOSTON,5,moist
02124,MA,SUFFOLK,DORCHESTER CENTER,5,moist
02125,MA,SUFFOLK,DORCHESTER,5,moist
02126,MA,SUFFOLK,MATTAPAN,5,moist
02127,MA,SUFFOLK,BOSTON,5,moist
02128,MA,SUFFOLK,BOSTON,5,moist
02129,MA,SUFFOLK,CHARLESTOWN,5,moist
02130,MA,SUFFOLK,JAMAICA PLAIN,5,moist
02131,MA,SUFFOLK,ROSLINDALE,5,moist
02132,MA,SUFFOLK,WEST ROXBURY,5,moist
02133,MA,SUFFOLK,BOSTON,5,moist
02134,MA,SUFFOLK,ALLSTON,5,moist
02135,MA,SUFFOLK,BRIGHTON,5,moist
02136,MA,SUFFOLK,HYDE PARK,5,moist
02137,MA,SUFFOLK,READVILLE,5,moist
02138,MA,MIDDLESEX,CAMBRIDGE,5,moist
02139,MA,MIDDLESEX,CAMBRIDGE,5,moist
02140,MA,MIDDLESEX,CAMBRIDGE,5,moist
02141,MA,MIDDLESEX,CAMBRIDGE,5,moist
02142,MA,MIDDLESEX,CAMBRIDGE,5,moist
02143,MA,MIDDLESEX,SOMERVILLE,5,moist
02144,MA,MIDDLESEX,SOMERVILLE,5,moist
02145,MA,MIDDLESEX,SOMERVILLE,5,moist
02148,MA,MIDDLESEX,MALDEN,5,moist
02149,MA,MIDDLESEX,EVERETT,5,moist
02150,MA,SUFFOLK,CHELSEA,5,moist
02151,MA,SUFFOLK,REVERE,5,moist
02152,MA,SUFFOLK,WINTHROP,5,moist
02153,MA,MIDDLESEX,MEDFORD,5,moist
02155,MA,MIDDLESEX,MEDFORD,5,moist
02156,MA,MIDDLESEX,WEST MEDFORD,5,moist
02163,MA,SUFFOLK,BOSTON,5,moist
02169,MA,NORFOLK,QUINCY,5,moist
02170,MA,NORFOLK,QUINCY,5,moist
02171,MA,NORFOLK,QUINCY,5,moist
02176,MA,MIDDLESEX,MELROSE,5,moist
02180,MA,MIDDLESEX,STONEHAM,5,moist
02184,MA,NORFOLK,BRAINTREE,5,moist
02185,MA,NORFOLK,BRAINTREE,5,moist
02186,MA,NORFOLK,MILTON,5,moist
02187,MA,NORFOLK,MILTON VILLAGE,5,moist
02188,MA,NORFOLK,WEYMOUTH,5,moist
02189,MA,NORFOLK,EAST WEYMOUTH,5,moist
02190,MA,NORFOLK,SOUTH WEYMOUTH,5,moist
02191,MA,NORFOLK,NORTH WEYMOUTH,5,moist
02196,MA,SUFFOLK,BOSTON,5,moist
02199,MA,SUFFOLK,BOSTON,5,moist
02201,MA,SUFFOLK,BOSTON,5,moist
02203,MA,SUFFOLK,BOSTON,5,moist
02205,MA,SUFFOLK,BOSTON,5,moist
02210,MA,SUFFOLK,BOSTON,5,moist
02211,MA,SUFFOLK,BOSTON,5,moist
02212,MA,SUFFOLK,BOSTON,5,moist
02215,MA,SUFFOLK,BOSTON,5,moist
02217,MA,SUFFOLK,BOSTON,5,moist
02222,MA,SUFFOLK,BOSTON,5,moist
02228,MA,SUFFOLK,EAST BOSTON,5,moist
02238,MA,MIDDLESEX,CAMBRIDGE,5,moist
02241,MA,SUFFOLK,BOSTON,5,moist
02269,MA,NORFOLK,QUINCY,5,moist
02283,MA,SUFFOLK,BOSTON,5,moist
02297,MA,SUFFOLK,BOSTON,5,moist
02301,MA,PLYMOUTH,BROCKTON,5,moist
02302,MA,PLYMOUTH,BROCKTON,5,moist
02303,MA,PLYMOUTH,BROCKTON,5,moist
02304,MA,PLYMOUTH,BROCKTON,5,moist
02305,MA,PLYMOUTH,BROCKTON,5,moist
02322,MA,NORFOLK,AVON,5,moist
02324,MA,PLYMOUTH,BRIDGEWATER,5,moist
02325,MA,PLYMOUTH,BRIDGEWATER,5,moist
02327,MA,PLYMOUTH,BRYANTVILLE,5,moist
02330,MA,PLYMOUTH,CARVER,5,moist
02331,MA,PLYMOUTH,DUXBURY,5,moist
02332,MA,PLYMOUTH,DUXBURY,5,moist
02333,MA,PLYMOUTH,EAST BRIDGEWATER,5,moist
02334,MA,BRISTOL,EASTON,5,moist
02337,MA,PLYMOUTH,ELMWOOD,5,moist
02338,MA,PLYMOUTH,HALIFAX,5,moist
02339,MA,PLYMOUTH,HANOVER,5,moist
02340,MA,PLYMOUTH,HANOVER,5,moist
02341,MA,PLYMOUTH,HANSON,5,moist
02343,MA,NORFOLK,HOLBROOK,5,moist
02344,MA,PLYMOUTH,MIDDLEBORO,5,moist
02345,MA,PLYMOUTH,MANOMET,5,moist
02346,MA,PLYMOUTH,MIDDLEBORO,5,moist
02347,MA,PLYMOUTH,LAKEVILLE,5,moist
02348,MA,PLYMOUTH,LAKEVILLE,5,moist
02349,MA,PLYMOUTH,MIDDLEBORO,5,moist
02350,MA,PLYMOUTH,MONPONSETT,5,moist
02351,MA,PLYMOUTH,ABINGTON,5,moist
02355,MA,PLYMOUTH,NORTH CARVER,5,moist
02356,MA,BRISTOL,NORTH EASTON,5,moist
02357,MA,BRISTOL,NORTH EASTON,5,moist
02358,MA,PLYMOUTH,NORTH PEMBROKE,5,moist
02359,MA,PLYMOUTH,PEMBROKE,5,moist
02360,MA,PLYMOUTH,PLYMOUTH,5,moist
02361,MA,PLYMOUTH,PLYMOUTH,5,moist
02362,MA,PLYMOUTH,PLYMOUTH,5,moist
02364,MA,PLYMOUTH,KINGSTON,5,moist
02366,MA,PLYMOUTH,SOUTH CARVER,5,moist
02367,MA,PLYMOUTH,PLYMPTON,5,moist
02368,MA,NORFOLK,RANDOLPH,5,moist
